(26) 
25.S3-111;Allana;10.0
25.S3-222;Breno;8.9
25.S3-333;Cida;6.7
25.S3-444;Denis;99.9
25.S3-555;Edna;4.5
25.S3-666;Felix;2.3
25.S3-777;Gertrudes;99.9
25.S3-888;Hector;0.1
25.S3-999;Ivone;99.9
25.S3-123;Jorge;7.5
25.S3-456;Karen;9.9
25.S3-789;Leonidas;5.2
25.S3-321;Matilda;6.3
25.S3-654;Nivaldo;2.1
25.S3-987;Odete;4.7
25.S3-191;Plinio;0.3
25.S3-282;Quiteria;3.9
25.S3-373;Ronildo;99.9
25.S3-464;Samanta;8.3
25.S3-505;Thales;99.9
25.S3-135;Ursula;9.1
25.S3-246;Vanderlei;10.0
25.S3-357;Wilma;99.9
25.S3-468;Xavier;8.2
25.S3-579;Yasmin;9.3
25.S3-680;Zacarias;99.9
